fecha,tipo,clave,total
2026-03-24,partido,SUMAR,36
2026-03-24,partido,JUNTS,37
2026-03-24,partido,EH BILDU,17
2026-03-24,partido,PODEMOS,37
2026-03-24,partido,VOX,48
2026-03-24,partido,PNV,13
2026-03-24,partido,Cs,16
2026-03-24,partido,BNG,3
2026-03-24,partido,MÁS MADRID,4
2026-03-24,partido,CC,1
2026-03-24,partido,PDECAT,1
2026-03-25,partido,VOX,69
2026-03-25,partido,CUP,48
2026-03-25,partido,PP,149
2026-03-25,partido,ERC,261
2026-03-25,partido,PODEMOS,29
2026-03-25,partido,MÁS MADRID,2
2026-03-25,partido,PSOE,46
2026-03-25,partido,SUMAR,36
2026-03-25,partido,Cs,12
2026-03-25,partido,PNV,7
2026-03-25,partido,JUNTS,13
2026-03-25,partido,EH BILDU,12
2026-03-25,partido,CC,2
2026-03-25,partido,BNG,1
2026-03-25,partido,PDECAT,1
2026-03-26,partido,PP,167
2026-03-26,partido,SUMAR,31
2026-03-26,partido,ERC,292
2026-03-26,partido,PODEMOS,31
2026-03-26,partido,PSOE,79
2026-03-26,partido,VOX,87
2026-03-26,partido,JUNTS,34
2026-03-26,partido,PNV,12
2026-03-26,partido,CUP,65
2026-03-26,partido,EH BILDU,15
2026-03-26,partido,Cs,23
2026-03-26,partido,BNG,4
2026-03-26,partido,MÁS MADRID,2
2026-03-27,partido,PSOE,46
2026-03-27,partido,PODEMOS,45
2026-03-27,partido,PP,88
2026-03-27,partido,ERC,219
2026-03-27,partido,VOX,47
2026-03-27,partido,SUMAR,23
2026-03-27,partido,CUP,44
2026-03-27,partido,PNV,9
2026-03-27,partido,Cs,13
2026-03-27,partido,EH BILDU,9
2026-03-27,partido,JUNTS,7
2026-03-27,partido,BNG,1
2026-03-27,partido,MÁS MADRID,2
2026-03-28,partido,ERC,206
2026-03-28,partido,PP,64
2026-03-28,partido,PODEMOS,18
2026-03-28,partido,EH BILDU,6
2026-03-28,partido,PSOE,28
2026-03-28,partido,PNV,2
2026-03-28,partido,JUNTS,3
2026-03-28,partido,CUP,30
2026-03-28,partido,SUMAR,14
2026-03-28,partido,VOX,20
2026-03-28,partido,Cs,10
2026-03-28,partido,MÁS MADRID,2
2026-03-28,partido,BNG,1
2026-03-29,partido,ERC,142
2026-03-29,partido,CUP,38
2026-03-29,partido,PODEMOS,21
2026-03-29,partido,EH BILDU,6
2026-03-29,partido,VOX,15
2026-03-29,partido,SUMAR,18
2026-03-29,partido,PP,49
2026-03-29,partido,PSOE,33
2026-03-29,partido,PNV,2
2026-03-29,partido,SALF,1
2026-03-29,partido,Cs,12
2026-03-29,partido,JUNTS,4
2026-03-29,partido,BNG,1
2026-03-29,partido,MÁS MADRID,2
2026-03-30,partido,ERC,138
2026-03-30,partido,CUP,32
2026-03-30,partido,PNV,2
2026-03-30,partido,PSOE,28
2026-03-30,partido,VOX,22
2026-03-30,partido,PP,54
2026-03-30,partido,PODEMOS,17
2026-03-30,partido,EH BILDU,8
2026-03-30,partido,Cs,7
2026-03-30,partido,SUMAR,13
2026-03-30,partido,SALF,1
2026-03-30,partido,JUNTS,7
2026-03-31,partido,ERC,293
2026-03-31,partido,SUMAR,42
2026-03-31,partido,PODEMOS,48
2026-03-31,partido,PP,110
2026-03-31,partido,VOX,29
2026-03-31,partido,PSOE,58
2026-03-31,partido,CUP,56
2026-03-31,partido,Cs,10
2026-03-31,partido,JUNTS,10
2026-03-31,partido,MÁS MADRID,6
2026-03-31,partido,EH BILDU,9
2026-03-31,partido,PNV,4
2026-03-31,partido,BNG,1
2026-04-01,partido,ERC,219
2026-04-01,partido,PP,81
2026-04-01,partido,CUP,36
2026-04-01,partido,PODEMOS,27
2026-04-01,partido,JUNTS,7
2026-04-01,partido,SUMAR,25
2026-04-01,partido,VOX,26
2026-04-01,partido,PSOE,29
2026-04-01,partido,Cs,11
2026-04-01,partido,EH BILDU,10
2026-04-01,partido,PNV,6
2026-04-02,partido,ERC,198
2026-04-02,partido,BNG,2
2026-04-02,partido,SUMAR,22
2026-04-02,partido,VOX,27
2026-04-02,partido,PODEMOS,22
2026-04-02,partido,PP,74
2026-04-02,partido,PSOE,27
2026-04-02,partido,CUP,47
2026-04-02,partido,Cs,9
2026-04-02,partido,PNV,5
2026-04-02,partido,EH BILDU,4
2026-04-02,partido,JUNTS,2
2026-04-03,partido,PODEMOS,34
2026-04-03,partido,ERC,149
2026-04-03,partido,PSOE,19
2026-04-03,partido,SUMAR,28
2026-04-03,partido,CUP,29
2026-04-03,partido,PP,54
2026-04-03,partido,JUNTS,3
2026-04-03,partido,Cs,7
2026-04-03,partido,EH BILDU,2
2026-04-03,partido,BNG,1
2026-04-03,partido,VOX,10
2026-04-03,partido,PNV,1
2026-04-04,partido,ERC,147
2026-04-04,partido,EH BILDU,5
2026-04-04,partido,SUMAR,20
2026-04-04,partido,PODEMOS,30
2026-04-04,partido,PSOE,25
2026-04-04,partido,VOX,21
2026-04-04,partido,CUP,35
2026-04-04,partido,PP,71
2026-04-04,partido,JUNTS,6
2026-04-04,partido,Cs,9
2026-04-04,partido,PNV,2
2026-04-04,partido,MÁS MADRID,2
